; Used in task.0008.ini
code                  , name                   , created_at          , updated_at          , created_by , updated_by , kind , parameters
цель:ярлыки           , Цель: Ярлыки           , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 0    , "{""tags"":[""Цель: Ярлыки"",""service:srv.tags""],""lead"":""Ярлык для фильтрации ярлыков при их выборе.""}"
цель:тексты           , Цель: Тексты           , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 0    , "{""tags"":[""Цель: Ярлыки"",""service:srv.content""],""lead"":""Ярлык для фильтрации ярлыков при их выборе.""}"
цель:изображения      , Цель: Изображения      , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 0    , "{""tags"":[""Цель: Ярлыки"",""service:srv.file""],""lead"":""Ярлык для фильтрации ярлыков при их выборе.""}"
цель:перелинковка     , Цель: Перелинковка     , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 0    , "{""tags"":[""Цель: Ярлыки"",""service:srv.relink""],""lead"":""Ярлык для фильтрации ярлыков при их выборе.""}"
цель:карточки         , Цель: Карточки         , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 0    , "{""tags"":[""Цель: Ярлыки"",""service:srv.users""],""lead"":""Ярлык для фильтрации ярлыков при их выборе.""}"
флаг:непросмотренные  , Флаг: непросмотренные  , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 2    , "{""tags"":[""Цель: Карточки"",""флаг""],""lead"":""Флаг для записей, которые были добалены не через админку и ещё не корректировались.""}"
группа:администраторы , Группа: Администраторы , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 2    , "{""tags"":[""Цель: Карточки"",""role: admin""],""lead"":""Группа доступа для пользователей.""}"
группа:редакторы      , Группа: Редакторы      , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 2    , "{""tags"":[""Цель: Карточки"",""role: editor""],""lead"":""Группа доступа для пользователей.""}"
группа:модераторы     , Группа: Модераторы     , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 2    , "{""tags"":[""Цель: Карточки"",""role: moder""],""lead"":""Группа доступа для пользователей.""}"
группа:клиенты        , Группа: Клиенты        , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 2    , "{""tags"":[""Цель: Карточки"",""role: client""],""lead"":""Группа доступа для пользователей.""}"
группа:пользователи   , Группа: Пользователи   , 2016-04-20 15:20:00 , 2016-04-20 15:20:00 , migration  , migration  , 2    , "{""tags"":[""Цель: Карточки"",""role: user""],""lead"":""Группа доступа для пользователей.""}"
